faa,name,lat,lon,alt,tz,dst,tzone
0V4,Brookneal/Campbell County Airport,37.141700744599994,-79.01640319820001,596,-5.0,A,1.0
19S,Sublette Municipal Airport,37.49140167,-100.8300018,2908,-5.0,A,
23M,Clarke County Airport,32.0848999023,-88.738899231,320,-6.0,A,2.0
2A5,Causey Airport,35.911800384521484,-79.61759948730469,723,-5.0,A,1.0
2H0,Shelby County Airport,39.410400390599996,-88.8453979492,618,-6.0,A,2.0
2K7,Neodesha Municipal Airport,37.43539810180664,-95.64610290527344,841,-5.0,A,
3AU,Augusta Municipal Airport,37.671600341796875,-97.0779037475586,1328,-5.0,A,
4A7,Atlanta South Regional Airport/Tara Field,33.389099,-84.332397,874,-5.0,A,1.0
4U9,Dell Flight Strip,44.7356987,-112.720001221,6007,-7.0,A,3.0
52A,Madison Municipal Airport,33.6120986938,-83.46040344240001,694,-5.0,A,1.0
57C,East Troy Municipal Airport,42.79719924926758,-88.37259674072266,860,-6.0,A,2.0
5B2,Saratoga County Airport,43.05130005,-73.86119843,434,-5.0,A,1.0
6J4,Saluda County Airport,33.92679977416992,-81.79460144042969,555,-5.0,A,1.0
6S0,Big Timber Airport,45.806400299072266,-109.98100280761719,4492,-7.0,A,3.0
7W6,Hyde County Airport,35.562400817871094,-75.9552001953125,8,-5.0,A,1.0
87K,El Dorado Springs Memorial Airport,37.8567008972168,-93.99909973144531,931,-5.0,A,
A39,Ak-Chin Regional Airport,32.9908056,-111.9185278,1300,-7.0,A,4.0
A50,Colorado Springs East Airport,38.8744010925293,-104.41000366210938,6145,-7.0,A,3.0
AAF,Apalachicola Regional Airport,29.72750092,-85.02749634,20,-5.0,A,1.0
AAP,Andrau Airpark,29.722499847399998,-95.58830261230001,79,-6.0,A,2.0
ABE,Lehigh Valley International Airport,40.652099609375,-75.44080352783203,393,-5.0,A,1.0
ABI,Abilene Regional Airport,32.4113006592,-99.68190002440001,1791,-6.0,A,2.0
ABL,Ambler Airport,67.106300354,-157.856994629,334,-9.0,A,5.0
ABQ,Albuquerque International Sunport Airport,35.040199279785156,-106.60900115966797,5355,-7.0,A,3.0
ABR,Aberdeen Regional Airport,45.449100494384766,-98.42179870605469,1302,-6.0,A,2.0
ABY,Southwest Georgia Regional Airport,31.535499572753906,-84.19450378417969,197,-5.0,A,1.0
ACK,Nantucket Memorial Airport,41.25310135,-70.06020355,47,-5.0,A,1.0
ACT,Waco Regional Airport,31.611299514770508,-97.23049926757812,516,-6.0,A,2.0
ACV,Arcata Airport,40.97809982299805,-124.10900115966797,221,-8.0,A,6.0
ACY,Atlantic City International Airport,39.45759963989258,-74.57720184326172,75,-5.0,A,1.0
ADK,Adak Airport,51.87799835205078,-176.64599609375,18,-10.0,A,7.0
ADM,Ardmore Municipal Airport,34.30301,-97.0196342,777,-6.0,A,2.0
ADQ,Kodiak Airport,57.75,-152.4940033,78,-9.0,A,5.0
ADS,Addison Airport,32.9686012268,-96.8364028931,644,-6.0,A,2.0
ADW,Andrews Air Force Base,38.810798645,-76.86699676510001,280,-5.0,A,1.0
AET,Allakaket Airport,66.5518035889,-152.621994019,441,-9.0,A,5.0
AEX,Alexandria International Airport,31.32740020751953,-92.54979705810547,89,-6.0,A,2.0
AFE,Kake Airport,56.9613990784,-133.910003662,172,-9.0,A,5.0
AFW,Fort Worth Alliance Airport,32.9875984192,-97.31880187990001,722,-6.0,A,2.0
AGC,Allegheny County Airport,40.354400634765625,-79.9301986694336,1252,-5.0,A,1.0
AGN,Angoon Seaplane Base,57.503601,-134.585007,0,-9.0,A,5.0
AGS,Augusta Regional At Bush Field,33.36989974975586,-81.9645004272461,144,-5.0,A,1.0
AHN,Athens Ben Epps Airport,33.94860076904297,-83.32630157470703,808,-5.0,A,1.0
AHQ,Wahoo Municipal Airport,41.2412986755,-96.59400177,1224,-5.0,A,
AIA,Alliance Municipal Airport,42.0531997681,-102.804000854,3931,-7.0,A,3.0
AIK,Aiken Municipal Airport,33.6493988037,-81.68499755859999,528,-5.0,A,1.0
AIN,Wainwright Airport,70.6380004883,-159.994995117,41,-9.0,A,5.0
AIZ,Lee C Fine Memorial Airport,38.0960006714,-92.54949951170002,869,-6.0,A,2.0
AKB,Atka Airport,52.22029877,-174.2059937,57,-10.0,A,7.0
AKC,Akron Fulton International Airport,41.0374984741,-81.4669036865,1067,-5.0,A,1.0
AKI,Akiak Airport,60.9029006958,-161.231002808,30,-9.0,A,5.0
AKK,Akhiok Airport,56.9387016296,-154.182998657,44,-9.0,A,5.0
AKN,King Salmon Airport,58.67679977,-156.6490021,73,-9.0,A,5.0
AKO,Colorado Plains Regional Airport,40.1755981445,-103.222000122,4714,-7.0,A,3.0
AKP,Anaktuvuk Pass Airport,68.13359833,-151.7429962,2102,-9.0,A,5.0
ALB,Albany International Airport,42.74829864501953,-73.80169677734375,285,-5.0,A,1.0
ALI,Alice International Airport,27.740900039699998,-98.02690124510002,178,-6.0,A,2.0
ALM,Alamogordo White Sands Regional Airport,32.8399009705,-105.990997314,4200,-7.0,A,3.0
ALN,St Louis Regional Airport,38.89030075069999,-90.0459976196,544,,,
ALO,Waterloo Regional Airport,42.557098388671875,-92.40029907226562,873,-6.0,A,2.0
ALS,San Luis Valley Regional Bergman Field,37.434898,-105.866997,7539,-7.0,A,3.0
ALW,Walla Walla Regional Airport,46.09489822,-118.288002,1194,-8.0,A,6.0
ALX,Thomas C Russell Field,32.914699554399995,-85.9629974365,686,-5.0,A,
AMA,Rick Husband Amarillo International Airport,35.219398498535156,-101.70600128173828,3607,-6.0,A,2.0
ANB,Anniston Metropolitan Airport,33.58819962,-85.85810089,612,-6.0,A,2.0
ANC,Ted Stevens Anchorage International Airport,61.174400329589844,-149.99600219726562,152,-9.0,A,5.0
AND,Anderson Regional Airport,34.4945983887,-82.70939636230001,782,-5.0,A,1.0
ANI,Aniak Airport,61.581600189208984,-159.54299926757812,88,-9.0,A,5.0
ANN,Annette Island Airport,55.04240036010742,-131.57200622558594,119,-9.0,A,5.0
ANP,Lee Airport,38.942902,-76.568398,34,-5.0,A,1.0
ANQ,Tri State Steuben County Airport,41.639702,-85.083504,995,-5.0,A,1.0
ANV,Anvik Airport,62.646702,-160.190994,291,-9.0,A,5.0
AOH,Lima Allen County Airport,40.706902,-84.026703,975,-5.0,A,1.0
AOO,Altoona Blair County Airport,40.29639816,-78.31999969,1503,-5.0,A,1.0
APA,Centennial Airport,39.57009888,-104.848999,5885,-7.0,A,3.0
APC,Napa County Airport,38.2132,-122.280998,35,-8.0,A,6.0
APF,Naples Municipal Airport,26.1525993347,-81.7752990723,8,-5.0,A,1.0
APG,Phillips Army Air Field,39.466202,-76.1688,57,-5.0,A,1.0
APN,Alpena County Regional Airport,45.0780983,-83.56030273,690,-5.0,A,1.0
AQC,Klawock Seaplane Base,55.5546989440918,-133.1020050048828,0,-9.0,A,5.0
ARA,Acadiana Regional Airport,30.0378,-91.883904,24,-6.0,A,2.0
ARB,Ann Arbor Municipal Airport,42.2229995728,-83.74559783939999,839,-5.0,A,1.0
ARC,Arctic Village Airport,68.1147,-145.578995,2092,-9.0,A,5.0
ART,Watertown International Airport,43.99190139770508,-76.02169799804688,325,-5.0,A,1.0
ARV,Lakeland-Noble F. Lee Memorial field,45.92789841,-89.73090363,1629,-6.0,A,2.0
ASE,Aspen-Pitkin Co/Sardy Field,39.22320175,-106.8690033,7820,-7.0,A,3.0
ASH,Boire Field,42.7817001343,-71.51480102539999,199,-5.0,A,1.0
ASN,Talladega Municipal Airport,33.569900512699995,-86.05090332030001,529,-5.0,A,
AST,Astoria Regional Airport,46.158000946,-123.878997803,15,-8.0,A,6.0
ATK,Atqasuk Edward Burnell Sr Memorial Airport,70.46730041503906,-157.43600463867188,96,-9.0,A,5.0
ATL,Hartsfield Jackson Atlanta International Airport,33.63669967651367,-84.4281005859375,1026,-5.0,A,1.0
ATW,Appleton International Airport,44.258098602299995,-88.5190963745,918,-6.0,A,2.0
ATY,Watertown Regional Airport,44.91400146,-97.15470123,1749,-6.0,A,2.0
AUG,Augusta State Airport,44.320598602299995,-69.7973022461,352,-5.0,A,1.0
AUK,Alakanuk Airport,62.680042266799994,-164.659927368,10,-9.0,A,5.0
AUO,Auburn Opelika Robert G. Pitts Airport,32.61510086,-85.43399811,777,-6.0,A,2.0
AUS,Austin Bergstrom International Airport,30.194499969482422,-97.6698989868164,542,-6.0,A,2.0
AUW,Wausau Downtown Airport,44.9262008667,-89.6266021729,1201,-6.0,U,2.0
AVL,Asheville Regional Airport,35.43619918823242,-82.54180145263672,2165,-5.0,A,1.0
AVO,Avon Park Executive Airport,27.59119987,-81.52780151,160,-5.0,A,1.0
AVP,Wilkes Barre Scranton International Airport,41.338500976599995,-75.72339630130001,962,-5.0,A,1.0
AVW,Marana Regional Airport,32.4095993042,-111.21800231899999,2031,-7.0,U,4.0
AVX,Catalina Airport,33.4049,-118.416,1602,-8.0,A,6.0
AWO,Arlington Municipal Airport,48.16070175,-122.1589966,142,-8.0,A,
AXN,Chandler Field,45.8662986755,-95.39469909670001,1425,,,
AZA,Phoenix-Mesa-Gateway Airport,33.30780029,-111.6549988,1382,-7.0,N,4.0
AZO,Kalamazoo Battle Creek International Airport,42.234901428222656,-85.5521011352539,874,-5.0,A,1.0
BAB,Beale Air Force Base,39.136100769,-121.43699646,113,-8.0,A,6.0
BAD,Barksdale Air Force Base,32.5018005371,-93.6626968384,166,-6.0,A,2.0
