origin,year,month,day,hour,temp,dewp,humid,wind_dir,wind_speed,wind_gust,precip,pressure,visib,time_hour
EWR,2017.0,1.0,1,0,,,,200.0,17.261699999999998,19.864419125999994,,,10.0,2017-01-01 08:00:00
EWR,2017.0,1.0,1,1,,,,220.0,16.11092,18.5401245176,,,10.0,2017-01-01 09:00:00
EWR,2017.0,1.0,1,2,,,,190.0,11.5078,13.242946083999998,,,10.0,2017-01-01 10:00:00
EWR,2017.0,1.0,1,3,,,,190.0,8.05546,9.2700622588,,,10.0,2017-01-01 11:00:00
EWR,2017.0,1.0,1,4,,,,220.0,9.20624,10.594356867199998,,,10.0,2017-01-01 12:00:00
EWR,2017.0,1.0,1,5,,,,220.0,11.5078,13.242946083999998,,,10.0,2017-01-01 13:00:00
EWR,2017.0,1.0,1,6,,,,,,,,,10.0,2017-01-01 14:00:00
EWR,2017.0,1.0,1,7,,,,230.0,9.20624,10.594356867199998,,,10.0,2017-01-01 15:00:00
EWR,2017.0,1.0,1,8,,,,230.0,8.05546,9.2700622588,,,10.0,2017-01-01 16:00:00
EWR,2017.0,1.0,1,9,,,,230.0,8.05546,9.2700622588,,,10.0,2017-01-01 17:00:00
EWR,2017.0,1.0,1,10,,,,220.0,11.5078,13.242946083999998,,,10.0,2017-01-01 18:00:00
EWR,2017.0,1.0,1,11,,,,220.0,9.20624,10.594356867199998,,,10.0,2017-01-01 19:00:00
EWR,2017.0,1.0,1,12,,,,230.0,12.658579999999999,14.567240692399997,,,10.0,2017-01-01 20:00:00
EWR,2017.0,1.0,1,13,,,,230.0,10.357019999999999,11.918651475599997,,,10.0,2017-01-01 21:00:00
EWR,2017.0,1.0,1,14,,,,240.0,11.5078,13.242946083999998,,,10.0,2017-01-01 22:00:00
EWR,2017.0,1.0,1,15,,,,,,,,,10.0,2017-01-01 23:00:00
EWR,2017.0,1.0,1,16,,,,270.0,16.11092,18.5401245176,,,10.0,2017-01-02 00:00:00
EWR,2017.0,1.0,1,17,,,,350.0,10.357019999999999,11.918651475599997,,,10.0,2017-01-02 01:00:00
EWR,2017.0,1.0,1,18,,,,310.0,10.357019999999999,11.918651475599997,,,10.0,2017-01-02 02:00:00
EWR,2017.0,1.0,1,19,,,,310.0,13.809359999999998,15.891535300799996,,,10.0,2017-01-02 03:00:00
